name,smiles,p_crbn_binder,p_crbn_glue,p_ppil4_bind,mgd_composite_score,rank_03,rank_04,combined_rank
cand_399,Nc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.95,0.4902512356245619,0.4657386738433338,37,161,198
cand_27,O=C1CCC(N2C(=O)c3cccc(O)c3C2=O)C(=O)N1,0.985,0.98,0.40492152613386606,0.3968230956111887,187,14,201
cand_450,Nc1c(O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.96,0.4216508866117617,0.40478485114729124,155,48,203
cand_160,NS(=O)(=O)c1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,0.95,0.42409139255332623,0.4028868229256599,168,36,204
cand_54,O=C1CCC(N2C(=O)c3ccc(C(=O)O)cc3C2=O)C(=O)N1,0.965,0.98,0.4284935705324441,0.41992369912179517,121,87,208
cand_231,O=C1CCC(N2C(=O)c3ccc(F)c(C(=O)O)c3C2=O)C(=O)N1,0.955,0.945,0.47053418223877286,0.44465480221564035,67,142,209
cand_142,NS(=O)(=O)c1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,0.9,0.4667989267261696,0.42011903405355266,118,92,210
cand_321,NS(=O)(=O)c1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.935,0.4610788999945347,0.43110877149488996,94,122,216
cand_391,COc1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.955,0.5052498070710081,0.4825135657528127,15,203,218
cand_123,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.98,0.985,0.40371730070321227,0.39766154119266406,186,35,221
cand_112,CNc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.935,0.5495864684250396,0.5138633479774121,6,216,222
cand_357,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(Br)c3C2=O)C(=O)N1,0.965,0.93,0.4471976145553064,0.41589378153643497,129,102,231
cand_200,CNc1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.96,0.47078332132468187,0.4519519884716946,53,179,232
cand_28,N#Cc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.955,0.4486813516217847,0.42849069079880436,103,130,233
cand_60,NC(=O)c1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,0.94,0.5094988569983825,0.4789289255784795,20,213,233
cand_204,CNc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.955,0.4201884100030751,0.40127993155293673,176,60,236
cand_490,O=C1CCC(N2C(=O)c3ccc(O)c(C(=O)O)c3C2=O)C(=O)N1,0.975,0.94,0.42873847485481387,0.403014166363525,167,69,236
cand_235,CCc1ccc2c(c1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.9,0.4628187629475805,0.41653688665282246,125,116,241
cand_152,O=C1CCC(N2C(=O)c3cc(Br)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.96,0.915,0.45487313289089665,0.41620891659517045,127,115,242
cand_406,CNc1c(C#N)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.965,0.41556658557814696,0.4010217550829118,177,65,242
cand_274,COc1cc2c(cc1N(C)C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,0.96,0.4722784572508355,0.4533873189608021,50,193,243
cand_483,N#Cc1c(Cl)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.925,0.4573538673545377,0.4230523273029474,115,128,243
cand_64,COc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,0.965,0.40805783960041075,0.39377581521439636,193,51,244
cand_10,Cc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,0.93,0.4114437956141709,0.3826427299211789,234,12,246
cand_402,N#Cc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.94,0.4640620792755912,0.43621835451905566,85,162,247
cand_462,COc1ccc2c(c1Cl)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,0.97,0.41653839648976954,0.4040422445950764,162,85,247
cand_59,NC(=O)c1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,0.94,0.43831582833818417,0.4120168786378931,136,113,249
cand_87,CN(C)c1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.95,0.4429988821891786,0.4208489380797196,117,132,249
cand_114,COc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.94,0.4506610850117807,0.4236214199110738,114,136,250
cand_337,NC(=O)c1c(I)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,0.93,0.46232156497496213,0.4299590554267148,99,152,251
cand_430,O=C1CCC(N2C(=O)c3ccc(O)c(C(F)(F)F)c3C2=O)C(=O)N1,0.985,0.95,0.4046805889780738,0.38444655952917006,228,25,253
