name,smiles,p_crbn_binder,predicted_active
cand_58,O=C1CCC(N2C(=O)c3ccc([N+](=O)[O-])cc3C2=O)C(=O)N1,0.945,1
cand_59,NC(=O)c1c(F)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,1
cand_60,NC(=O)c1ccc2c(c1N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_61,CCc1cc2c(cc1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_62,O=C1CCC(N2C(=O)c3cccc(C(=O)O)c3C2=O)C(=O)N1,0.9,1
cand_63,NC(=O)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_64,COc1ccc2c(c1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_65,N#Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_66,N#Cc1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_67,Cc1ccc2c(c1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_68,O=C1CCC(N2C(=O)c3ccc(Br)c(O)c3C2=O)C(=O)N1,0.99,1
cand_69,CNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_70,Cc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_71,CCc1cc(C(=O)O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_72,CCc1ccc(I)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.88,1
cand_73,CN(C)c1cc2c(cc1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_74,CNc1ccc(S(N)(=O)=O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,1
cand_75,CCc1c(OC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_76,Cc1cc2c(cc1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_77,Cc1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_78,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc(F)c3C2=O)C(=O)N1,0.94,1
cand_79,CCc1cc(OC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_80,Nc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_81,NS(=O)(=O)c1ccc(O)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.895,1
cand_82,CCc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_83,CCc1ccc(C)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,1
cand_84,COc1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_85,CCc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_86,O=C1CCC(N2C(=O)c3ccc(I)c(Cl)c3C2=O)C(=O)N1,0.965,1
cand_87,CN(C)c1cc(O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_88,CNc1ccc2c(c1S(N)(=O)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.97,1
cand_89,CNc1cc(F)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_90,Cc1cc(Br)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_91,CNc1cc2c(cc1NC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_92,CNc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_93,O=C1CCC(N2C(=O)c3cc([N+](=O)[O-])c(C(F)(F)F)cc3C2=O)C(=O)N1,0.885,1
cand_94,COc1cc(C#N)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_95,CNc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_96,N#Cc1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.91,1
cand_97,CCc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.985,1
cand_98,NS(=O)(=O)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_99,Cc1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_100,O=C1CCC(N2C(=O)c3cc(Br)cc(O)c3C2=O)C(=O)N1,0.955,1
cand_101,NS(=O)(=O)c1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_102,Cc1cc(C(N)=O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_103,NS(=O)(=O)c1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_104,COc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_105,O=C1CCC(N2C(=O)c3cc(Cl)cc(Br)c3C2=O)C(=O)N1,0.95,1
cand_106,COc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_107,CN(C)c1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.98,1
cand_108,NC(=O)c1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_109,CNc1ccc(C(F)(F)F)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.875,1
cand_110,NC(=O)c1ccc([N+](=O)[O-])c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.83,1
cand_111,O=C1CCC(N2C(=O)c3cc(Cl)cc(C(=O)O)c3C2=O)C(=O)N1,0.9,1
cand_112,CNc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_113,NC(=O)c1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_114,COc1ccc2c(c1C(N)=O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,1
cand_115,CCc1cc2c(cc1C(=O)O)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.87,1
cand_116,O=C1CCC(N2C(=O)c3ccc(C(=O)O)c(C(=O)O)c3C2=O)C(=O)N1,0.94,1
cand_117,Nc1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,1
cand_118,NS(=O)(=O)c1cc(I)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,1
cand_119,NC(=O)c1ccc(N)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.87,1
cand_120,CNc1ccc2c(c1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,1
cand_121,O=C1CCC(N2C(=O)c3ccc(Br)c(Cl)c3C2=O)C(=O)N1,0.98,1
cand_122,O=C1CCC(N2C(=O)c3ccc(I)c(I)c3C2=O)C(=O)N1,0.97,1
cand_123,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)cc3C2=O)C(=O)N1,0.98,1
cand_124,CCc1c(NC)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_125,COc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,1
cand_126,COc1c(C(N)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,1
cand_127,N#Cc1ccc2c(c1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,1
cand_128,O=C1CCC(N2C(=O)c3cc(Cl)cc(F)c3C2=O)C(=O)N1,0.905,1
cand_129,CCc1cc(C(F)(F)F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_130,O=C1CCC(N2C(=O)c3cc(Cl)c(I)cc3C2=O)C(=O)N1,0.92,1
cand_131,Nc1ccc2c(c1Br)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.975,1
cand_132,COc1c(N(C)C)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,1
cand_133,CCc1cc(NC)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,1
cand_134,N#Cc1cc2c(c(S(N)(=O)=O)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,1
cand_135,Nc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.855,1
cand_136,NS(=O)(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,1
cand_137,COc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
cand_138,CCc1cc2c(cc1C)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,1
