name,smiles,p_crbn_glue,ppil4_affinity_kcal_mol,p_ppil4_bind,mgd_composite_score,error
cand_366,CCc1cc(C(=O)O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.361,0.46530584250501045,0.43971402116723485,
cand_367,CN(C)c1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.307,0.4518992162299354,0.42026627109383996,
cand_368,Nc1cc(S(N)(=O)=O)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.398,0.4745220855225069,0.45079598124638154,
cand_369,Nc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.019,0.3820160176136095,0.364825296820997,
cand_370,CCc1cc(O)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.93,-6.011,0.38012917037958865,0.35352012845301745,
cand_371,CNc1ccc(Cl)c2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.925,-6.052,0.3898363890571893,0.36059865987790013,
cand_372,Cc1cc(F)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-6.075,0.39532091528599067,0.3696250557924013,
cand_373,CN(C)c1cc(I)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.712,0.31259826944115077,0.298531347316299,
cand_374,Cc1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.915,-6.167,0.41751085648839775,0.38202243368688393,
cand_375,Cc1c(C(=O)O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.94,-6.223,0.4311894189608038,0.40531805382315556,
cand_376,CCc1cc2c(cc1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-5.93,0.361236824851158,0.34498116773285586,
cand_377,O=C1CCC(N2C(=O)c3c(F)ccc(C(=O)O)c3C2=O)C(=O)N1,0.94,-6.395,0.4737740906279312,0.44534764519025527,
cand_378,O=C1CCC(N2C(=O)c3cc(C(=O)O)cc(C(=O)O)c3C2=O)C(=O)N1,0.95,-6.393,0.47327549254315177,0.44961171791599414,
cand_379,O=C1CCC(N2C(=O)c3ccc(Cl)c(O)c3C2=O)C(=O)N1,0.95,-5.985,0.37402214223339625,0.3553210351217264,
cand_380,CN(C)c1cc(Cl)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.149,0.41313994471057014,0.3924829474750416,
cand_381,O=C1CCC(N2C(=O)c3cc(O)c(Cl)cc3C2=O)C(=O)N1,0.98,-5.944,0.36447348673568963,0.35718401700097585,
cand_382,O=C1CCC(N2C(=O)c3ccc(C(F)(F)F)c(C(F)(F)F)c3C2=O)C(=O)N1,0.915,-6.361,0.46530584250501045,0.42575484589208457,
cand_383,COc1ccc2c(c1I)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.965,-6.141,0.4112016592783589,0.3968096012036163,
cand_384,NC(=O)c1cc2c(c(C(F)(F)F)c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.905,-6.232,0.4333981578487262,0.39222533285309724,
cand_385,CNc1cc(C)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.92,-6.246,0.43683920889452504,0.4018920721829631,
cand_386,CCc1ccc2c(c1OC)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.89,-5.811,0.33425556513515803,0.29748745297029067,
cand_387,CN(C)c1cc(Cl)c2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-5.901,0.35457251132431217,0.3403896108713397,
cand_388,COc1ccc2c(c1C(F)(F)F)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.96,-6.396,0.47402340934744236,0.45506247297354463,
cand_389,Cc1cc(N)cc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.945,-6.183,0.42140704432047793,0.3982296568828516,
cand_390,O=C1CCC(N2C(=O)c3cc(F)cc(O)c3C2=O)C(=O)N1,0.945,-6.154,0.4143527455576214,0.39156334455195224,
cand_391,COc1cc2c(cc1C#N)C(=O)N(C1CCC(=O)NC1=O)C2=O,0.955,-6.488,0.49700003599948167,0.474635034379505,
cand_392,O=C1CCC(N2C(=O)c3ccc(O)c(I)c3C2=O)C(=O)N1,0.96,-5.714,0.31302819161693013,0.3005070639522529,
cand_393,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)c(C(F)(F)F)cc3C2=O)C(=O)N1,0.93,-6.476,0.49400028798341217,0.45942026782457335,
cand_394,O=C1CCC(N2C(=O)c3cc(C(F)(F)F)cc([N+](=O)[O-])c3C2=O)C(=O)N1,0.895,-6.4,0.4750208125210601,0.4251436272063488,
cand_395,NC(=O)c1c([N+](=O)[O-])ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.885,-6.716,0.5537910229492019,0.49010505531004367,
cand_396,O=C1CCC(N2C(=O)c3c(O)ccc(Br)c3C2=O)C(=O)N1,0.93,-5.875,0.34864513533394575,0.3242399758605696,
cand_397,Cc1c(Br)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.935,-5.987,0.3744905192462411,0.35014863549523545,
cand_398,O=C1CCC(N2C(=O)c3ccc(Cl)c(C(F)(F)F)c3C2=O)C(=O)N1,0.945,-6.15,0.41338242108267004,0.3906463879231232,
cand_399,Nc1c(S(N)(=O)=O)ccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,0.95,-6.475,0.4937503255004894,0.46906280922546495,
